user_id;created_at;status_id;text
<<<<<<< HEAD
104577235;2021-04-17T13:26:56Z;1383411658630991877;Good news  Starting on Sunday  all Virginians over the age of 16 will be eligible for vaccines   You can find and schedule appointments directly through the Vaccinate Virginia vaccine system by visiting  or by calling 877 829 4682  CovidVaccine
273928529;2021-04-17T12:39:49Z;1383399801463578634;Health Canada has received a submission from Pfizer BioNTech to expand the use of its  CovidVaccine in individuals 12 years of age and older  The Department is currently reviewing this submission  
3257869126;2021-04-16T14:54:32Z;1383071315477807108;If you are having problems registering for your  COVIDVaccine on the site today  we have information on our website that may be useful         You can also call us on 1850241850 
211161295;2021-04-17T12:17:26Z;1383394166772617227;Just interrupted the reporter on live news because she asked about the safety of AZ vaccine  Never in 11 years of practicing medicine has a patient asked me which brand of life saving vaccine they d receive  If we want out of this pandemic  take the  CovidVaccine you re offered 
1495260666;2021-04-17T12:14:16Z;1383393370131746818; The Modi government  which sets much store on the Quad alliance  must ensure that the Biden Administration keeps to its committed word and immediately ensure supply of essential vaccine material to India      COVID19India  covidvaccine
184599763;2021-04-17T11:51:13Z;1383387568897593355;1st Dose Progress                 21 1   2nd Dose Progress                 8 8   As of Thursday  15 Apr 2021  Note  percentages of 16  population only  Data sources in bio   CovidVaccine  COVID19  COVID19Ireland 
1330901226758828032;2021-04-17T11:50:15Z;1383387327263764481;Economical situation in  Iran is so tense that people line up to buy chicken skin and can rarely provide bread  All this while Khamenei refuses to spend even a dollar for  CovidVaccine that will ease pressure and provide families safety during  Ramadan 
1278225754396872704;2021-04-17T11:37:57Z;1383384231565414401;About 5 Lakh  CovidVaccine doses have been arrived at Vijayawada  AP from Pune     IndiaFightsCorona 
855280331687055360;2021-04-17T11:35:50Z;1383383698440028160;I understand the principle of the risk/ benefit argument around the  AstraZenaca  CovidVaccine but I am constantly hearing that over 50 s are also less likely to get clots  Can anyone explain on what basis less likely  Genuine question   auspol  FactsMatter
65941635;2021-04-17T11:33:07Z;1383383016064491521;Did you also take the  COVIDVaccine  Then  here's your chance to inspire millions to get  Vaccinated too  Share your pictures with an interesting tagline   you can stand a chance to win  5 000  Visit        
1267822628670042116;2021-04-17T11:21:26Z;1383380077098901509;  We are  InThisTogether to beat  COVID19 Tips     Maintain at least 6 feet of distance between yourself   others     Double mask for greater protection      Wash your hands or hand sanitizer    Staying safe     protects you    protects others   Dems4USA  CovidVaccine 
864999784049803264;2021-04-17T11:16:13Z;1383378763174404105;    Mask for Glasses Wearers    Covid 19  UKGiftAM  UKGiftHour  lockdowns   COVID 19  Sales  Corona  coronavirus  vaccination  giftideas  SaturdayMorning  gift  giveaway  royal  vaccine  GBNews  VaccinePassports  lockdowns  design  CovidVaccine  
